"","state","state.fips","county","county.code","commodity","data.item","domain.category","value"
"Colorado.89","COLORADO",8,"ADAMS",1,"HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","","27,499"
"Colorado.90","COLORADO",8,"ADAMS",1,"SUNFLOWER","SUNFLOWER - OPERATIONS WITH AREA HARVESTED","","16"
"Colorado.91","COLORADO",8,"ADAMS",1,"SUNFLOWER","SUNFLOWER - ACRES HARVESTED","","8,124"
"Colorado.92","COLORADO",8,"ADAMS",1,"SUNFLOWER","SUNFLOWER - PRODUCTION, MEASURED IN LB","","6,213,176"
"Colorado.93","COLORADO",8,"ADAMS",1,"SUGARBEETS","SUGARBEETS - OPERATIONS WITH AREA HARVESTED","","6"
"Colorado.94","COLORADO",8,"ADAMS",1,"SUGARBEETS","SUGARBEETS - ACRES HARVESTED","","910"
"Colorado.95","COLORADO",8,"ADAMS",1,"SUGARBEETS","SUGARBEETS - PRODUCTION, MEASURED IN TONS","","27,225"
"Colorado.96","COLORADO",8,"ADAMS",1,"VEGETABLE TOTALS","VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED","","28"
"Colorado.97","COLORADO",8,"ADAMS",1,"VEGETABLE TOTALS","VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED","","368"
"Colorado.98","COLORADO",8,"ADAMS",1,"POTATOES","POTATOES - OPERATIONS WITH AREA HARVESTED","","2"
"Colorado.99","COLORADO",8,"ADAMS",1,"POTATOES","POTATOES - ACRES HARVESTED","","(D)"
"Colorado.100","COLORADO",8,"ADAMS",1,"ORCHARDS","ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING","","15"
"Colorado.101","COLORADO",8,"ADAMS",1,"ORCHARDS","ORCHARDS - ACRES BEARING & NON-BEARING","","22"
"Colorado.102","COLORADO",8,"ADAMS",1,"AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","","905"
"Colorado.103","COLORADO",8,"ALAMOSA",3,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","","280"
"Colorado.104","COLORADO",8,"ALAMOSA",3,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (1.0 TO 9.9 ACRES)","14"
"Colorado.105","COLORADO",8,"ALAMOSA",3,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (10.0 TO 49.9 ACRES)","51"
"Colorado.106","COLORADO",8,"ALAMOSA",3,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (50 TO 179 ACRES)","76"
"Colorado.107","COLORADO",8,"ALAMOSA",3,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (180 TO 499 ACRES)","44"
"Colorado.108","COLORADO",8,"ALAMOSA",3,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (500 TO 999 ACRES)","37"
"Colorado.109","COLORADO",8,"ALAMOSA",3,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (1,000 OR MORE ACRES)","58"
"Colorado.110","COLORADO",8,"ALAMOSA",3,"FARM OPERATIONS","FARM OPERATIONS - ACRES OPERATED","","192,030"
"Colorado.111","COLORADO",8,"ALAMOSA",3,"FARM OPERATIONS","FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION","","686"
"Colorado.112","COLORADO",8,"ALAMOSA",3,"FARM OPERATIONS","FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","","166"
"Colorado.113","COLORADO",8,"ALAMOSA",3,"AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION","","1,453,990"
"Colorado.114","COLORADO",8,"ALAMOSA",3,"AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","","2,120"
"Colorado.115","COLORADO",8,"ALAMOSA",3,"MACHINERY TOTALS","MACHINERY TOTALS - ASSET VALUE, MEASURED IN $","","76,381,000"
"Colorado.116","COLORADO",8,"ALAMOSA",3,"MACHINERY TOTALS","MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION","","272,790"
"Colorado.117","COLORADO",8,"ALAMOSA",3,"AG LAND","AG LAND, CROPLAND - NUMBER OF OPERATIONS","","178"
"Colorado.118","COLORADO",8,"ALAMOSA",3,"AG LAND","AG LAND, CROPLAND - ACRES","","81,082"
"Colorado.119","COLORADO",8,"ALAMOSA",3,"AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","","149"
"Colorado.120","COLORADO",8,"ALAMOSA",3,"AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","","59,432"
"Colorado.121","COLORADO",8,"ALAMOSA",3,"AG LAND","AG LAND, IRRIGATED - NUMBER OF OPERATIONS","","181"
"Colorado.122","COLORADO",8,"ALAMOSA",3,"AG LAND","AG LAND, IRRIGATED - ACRES","","79,543"
"Colorado.123","COLORADO",8,"ALAMOSA",3,"COMMODITY TOTALS","COMMODITY TOTALS - SALES, MEASURED IN $","","89,334,000"
"Colorado.124","COLORADO",8,"ALAMOSA",3,"COMMODITY TOTALS","COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION","","319,051"
"Colorado.125","COLORADO",8,"ALAMOSA",3,"CROP TOTALS","CROP TOTALS - SALES, MEASURED IN $","","81,248,000"
"Colorado.126","COLORADO",8,"ALAMOSA",3,"ANIMAL TOTALS","ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $","","8,086,000"
"Colorado.127","COLORADO",8,"ALAMOSA",3,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","",""
"Colorado.128","COLORADO",8,"ALAMOSA",3,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (LESS THAN 2,500 $)","111"
"Colorado.129","COLORADO",8,"ALAMOSA",3,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (2,500 TO 4,999 $)","12"
"Colorado.130","COLORADO",8,"ALAMOSA",3,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (5,000 TO 9,999 $)","7"
"Colorado.131","COLORADO",8,"ALAMOSA",3,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (10,000 TO 24,999 $)","23"
"Colorado.132","COLORADO",8,"ALAMOSA",3,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (25,000 TO 49,999 $)","11"
"Colorado.133","COLORADO",8,"ALAMOSA",3,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (50,000 TO 99,999 $)","33"
"Colorado.134","COLORADO",8,"ALAMOSA",3,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (100,000 OR MORE $)","83"
"Colorado.135","COLORADO",8,"ALAMOSA",3,"GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS","","64"
"Colorado.136","COLORADO",8,"ALAMOSA",3,"GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","","836,000"
"Colorado.137","COLORADO",8,"ALAMOSA",3,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS","","134"
"Colorado.138","COLORADO",8,"ALAMOSA",3,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","","3,483,000"
"Colorado.139","COLORADO",8,"ALAMOSA",3,"EXPENSE TOTALS","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $","","72,426,000"
"Colorado.140","COLORADO",8,"ALAMOSA",3,"EXPENSE TOTALS","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION","","258,666"
"Colorado.141","COLORADO",8,"ALAMOSA",3,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME","","280"
"Colorado.142","COLORADO",8,"ALAMOSA",3,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $","","21,227,000"
"Colorado.143","COLORADO",8,"ALAMOSA",3,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION","","75,811"
"Colorado.144","COLORADO",8,"ALAMOSA",3,"CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","","99"
"Colorado.145","COLORADO",8,"ALAMOSA",3,"CATTLE","CATTLE, INCL CALVES - INVENTORY","","11,898"
"Colorado.146","COLORADO",8,"ALAMOSA",3,"CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","","88"
"Colorado.147","COLORADO",8,"ALAMOSA",3,"CATTLE","CATTLE, COWS, BEEF - INVENTORY","","7,197"
"Colorado.148","COLORADO",8,"ALAMOSA",3,"CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","","3"
"Colorado.149","COLORADO",8,"ALAMOSA",3,"CATTLE","CATTLE, COWS, MILK - INVENTORY","","8"
"Colorado.150","COLORADO",8,"ALAMOSA",3,"CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH SALES","","79"
"Colorado.151","COLORADO",8,"ALAMOSA",3,"CATTLE","CATTLE, INCL CALVES - SALES, MEASURED IN HEAD","","7,363"
"Colorado.152","COLORADO",8,"ALAMOSA",3,"HOGS","HOGS - OPERATIONS WITH INVENTORY","","5"
"Colorado.153","COLORADO",8,"ALAMOSA",3,"HOGS","HOGS - INVENTORY","","34"
"Colorado.154","COLORADO",8,"ALAMOSA",3,"HOGS","HOGS - OPERATIONS WITH SALES","","3"
"Colorado.155","COLORADO",8,"ALAMOSA",3,"HOGS","HOGS - SALES, MEASURED IN HEAD","","(D)"
"Colorado.156","COLORADO",8,"ALAMOSA",3,"SHEEP","SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY","","37"
"Colorado.157","COLORADO",8,"ALAMOSA",3,"SHEEP","SHEEP, INCL LAMBS - INVENTORY","","4,465"
"Colorado.158","COLORADO",8,"ALAMOSA",3,"CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","","22"
"Colorado.159","COLORADO",8,"ALAMOSA",3,"CHICKENS","CHICKENS, LAYERS - INVENTORY","","405"
"Colorado.160","COLORADO",8,"ALAMOSA",3,"CHICKENS","CHICKENS, BROILERS - OPERATIONS WITH SALES","","2"
"Colorado.161","COLORADO",8,"ALAMOSA",3,"CHICKENS","CHICKENS, BROILERS - SALES, MEASURED IN HEAD","","(D)"
"Colorado.162","COLORADO",8,"ALAMOSA",3,"CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","","2"
"Colorado.163","COLORADO",8,"ALAMOSA",3,"CORN","CORN, SILAGE - ACRES HARVESTED","","(D)"
"Colorado.164","COLORADO",8,"ALAMOSA",3,"CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","","(D)"
"Colorado.165","COLORADO",8,"ALAMOSA",3,"WHEAT","WHEAT - OPERATIONS WITH AREA HARVESTED","","9"
"Colorado.166","COLORADO",8,"ALAMOSA",3,"WHEAT","WHEAT - ACRES HARVESTED","","1,525"
"Colorado.167","COLORADO",8,"ALAMOSA",3,"WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","","122,710"
"Colorado.168","COLORADO",8,"ALAMOSA",3,"WHEAT","WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED","","3"
"Colorado.169","COLORADO",8,"ALAMOSA",3,"WHEAT","WHEAT, SPRING, DURUM - ACRES HARVESTED","","900"
"Colorado.170","COLORADO",8,"ALAMOSA",3,"WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU","","67,500"
"Colorado.171","COLORADO",8,"ALAMOSA",3,"WHEAT","WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED","","9"
"Colorado.172","COLORADO",8,"ALAMOSA",3,"WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","","625"
"Colorado.173","COLORADO",8,"ALAMOSA",3,"WHEAT","WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","","55,210"
"Colorado.174","COLORADO",8,"ALAMOSA",3,"OATS","OATS - OPERATIONS WITH AREA HARVESTED","","7"
"Colorado.175","COLORADO",8,"ALAMOSA",3,"OATS","OATS - ACRES HARVESTED","","380"
"Colorado.176","COLORADO",8,"ALAMOSA",3,"OATS","OATS - PRODUCTION, MEASURED IN BU","","46,000"
"Colorado.177","COLORADO",8,"ALAMOSA",3,"BARLEY","BARLEY - OPERATIONS WITH AREA HARVESTED","","31"
"Colorado.178","COLORADO",8,"ALAMOSA",3,"BARLEY","BARLEY - ACRES HARVESTED","","10,666"
"Colorado.179","COLORADO",8,"ALAMOSA",3,"BARLEY","BARLEY - PRODUCTION, MEASURED IN BU","","1,281,067"
"Colorado.180","COLORADO",8,"ALAMOSA",3,"SORGHUM","SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED","","1"
"Colorado.181","COLORADO",8,"ALAMOSA",3,"SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","","(D)"
"Colorado.182","COLORADO",8,"ALAMOSA",3,"SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","","(D)"
"Colorado.183","COLORADO",8,"ALAMOSA",3,"HAY & HAYLAGE","HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED","","120"
"Colorado.184","COLORADO",8,"ALAMOSA",3,"HAY & HAYLAGE","HAY & HAYLAGE - ACRES HARVESTED","","27,326"
"Colorado.185","COLORADO",8,"ALAMOSA",3,"HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","","90,902"
"Colorado.186","COLORADO",8,"ALAMOSA",3,"VEGETABLE TOTALS","VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED","","30"
"Colorado.187","COLORADO",8,"ALAMOSA",3,"VEGETABLE TOTALS","VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED","","16,071"
"Colorado.188","COLORADO",8,"ALAMOSA",3,"POTATOES","POTATOES - OPERATIONS WITH AREA HARVESTED","","30"
"Colorado.189","COLORADO",8,"ALAMOSA",3,"POTATOES","POTATOES - ACRES HARVESTED","","(D)"
"Colorado.190","COLORADO",8,"ALAMOSA",3,"AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","","280"
"Colorado.191","COLORADO",8,"ARAPAHOE",5,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","","851"
"Colorado.192","COLORADO",8,"ARAPAHOE",5,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (1.0 TO 9.9 ACRES)","87"
