state,county,ag_land_cropland_acres,ag_land_cropland_number_of_operations,ag_land_cropland_harvested_acres,ag_land_cropland_harvested_number_of_operations,ag_land_incl_buildings_asset_value_measured_in_$_acre,ag_land_incl_buildings_asset_value_measured_in_$_operation,ag_land_incl_buildings_operations_with_asset_value,ag_land_irrigated_acres,ag_land_irrigated_number_of_operations,animal_totals_incl_products_sales_measured_in_$,barley_acres_harvested,barley_operations_with_area_harvested,barley_production_measured_in_bu,beans_dry_edible_(excl_chickpeas_&_lima)_acres_harvested,beans_dry_edible_(excl_chickpeas_&_lima)_operations_with_area_harvested,beans_dry_edible_(excl_chickpeas_&_lima)_production_measured_in_cwt,cattle_cows_beef_inventory,cattle_cows_beef_operations_with_inventory,cattle_cows_milk_inventory,cattle_cows_milk_operations_with_inventory,cattle_incl_calves_inventory,cattle_incl_calves_operations_with_inventory,cattle_incl_calves_operations_with_sales,cattle_incl_calves_sales_measured_in_head,chickens_broilers_operations_with_sales,chickens_broilers_sales_measured_in_head,chickens_layers_inventory,chickens_layers_operations_with_inventory,commodity_totals_operations_with_sales,commodity_totals_sales_measured_in_$,commodity_totals_sales_measured_in_$_operation,corn_grain_acres_harvested,corn_grain_operations_with_area_harvested,corn_grain_production_measured_in_bu,corn_silage_acres_harvested,corn_silage_operations_with_area_harvested,corn_silage_production_measured_in_tons,crop_totals_sales_measured_in_$,expense_totals_operating_expense_measured_in_$,expense_totals_operating_expense_measured_in_$_operation,farm_operations_acres_operated,farm_operations_area_operated_measured_in_acres_operation,farm_operations_area_operated_measured_in_acres_operation_median,farm_operations_number_of_operations,govt_programs_federal_operations_with_receipts,govt_programs_federal_receipts_measured_in_$,hay_&_haylage_acres_harvested,hay_&_haylage_operations_with_area_harvested,hay_&_haylage_production_measured_in_tons_dry_basis,hogs_inventory,hogs_operations_with_inventory,hogs_operations_with_sales,hogs_sales_measured_in_head,income_farm_related_operations_with_receipts,income_farm_related_receipts_measured_in_$,income_net_cash_farm_of_operations_net_income_measured_in_$,income_net_cash_farm_of_operations_net_income_measured_in_$_operation,income_net_cash_farm_of_operations_operations_with_net_income,machinery_totals_asset_value_measured_in_$,machinery_totals_asset_value_measured_in_$_operation,oats_acres_harvested,oats_operations_with_area_harvested,oats_production_measured_in_bu,orchards_acres_bearing_&_non_bearing,orchards_operations_with_area_bearing_&_non_bearing,potatoes_acres_harvested,potatoes_operations_with_area_harvested,sheep_incl_lambs_inventory,sheep_incl_lambs_operations_with_inventory,sorghum_grain_acres_harvested,sorghum_grain_operations_with_area_harvested,sorghum_grain_production_measured_in_bu,sorghum_silage_acres_harvested,sorghum_silage_operations_with_area_harvested,sorghum_silage_production_measured_in_tons,soybeans_acres_harvested,soybeans_operations_with_area_harvested,soybeans_production_measured_in_bu,sugarbeets_acres_harvested,sugarbeets_operations_with_area_harvested,sugarbeets_production_measured_in_tons,sunflower_acres_harvested,sunflower_operations_with_area_harvested,sunflower_production_measured_in_lb,sweet_potatoes_acres_harvested,sweet_potatoes_operations_with_area_harvested,vegetable_totals_in_the_open_acres_harvested,vegetable_totals_in_the_open_operations_with_area_harvested,wheat_acres_harvested,wheat_operations_with_area_harvested,wheat_production_measured_in_bu,wheat_spring_(excl_durum)_acres_harvested,wheat_spring_(excl_durum)_operations_with_area_harvested,wheat_spring_(excl_durum)_production_measured_in_bu,wheat_spring_durum_acres_harvested,wheat_spring_durum_operations_with_area_harvested,wheat_spring_durum_production_measured_in_bu,wheat_winter_acres_harvested,wheat_winter_operations_with_area_harvested,wheat_winter_production_measured_in_bu
colorado,conejos,"131,453",414,"103,574",388,"1,687","857,351",524,"119,518",384,"19,860,000","6,008",32,"645,537",0,0,0,"22,585",215,186,10,"35,855",247,206,"19,171",2,0,"1,504",54,163,"53,941,000","102,941",39,3,"3,900",0,1,0,"34,080,000","42,618,000","81,333","266,278",508,140,524,95,"718,000","94,133",383,"238,988",411,20,20,311,195,"5,388,000","17,428,000","33,259",524,"70,025,000","133,635","1,268",18,"83,800",0,0,0,2,"10,867",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,932,3,"36,110",0,1,0,0,0,0,0,3,0
colorado,costilla,"50,567",197,"31,267",166,"1,215","1,898,119",229,"39,343",167,"2,706,000","4,842",9,"574,290",0,2,0,"4,256",83,10,7,"6,297",90,73,"3,601",1,0,418,20,111,"22,059,000","96,328",0,0,0,0,0,0,"19,353,000","21,575,000","94,215","357,617","1,562",46,229,21,"308,000","21,817",164,"67,243",18,5,2,0,50,"2,821,000","3,612,000","15,775",229,"35,310,000","154,192",0,0,0,0,0,0,4,544,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,770",7,"1,881",6,"162,114",0,5,0,0,0,0,0,1,0
colorado,crowley,"30,995",120,0,59,509,"1,002,121",246,"4,684",55,"94,965,000",0,1,0,0,1,0,"15,597",125,7,5,"72,158",140,127,"65,452",10,670,"1,407",48,113,"96,277,000","391,371",217,5,"25,090",86,3,"1,562","1,312,000","85,758,000","348,609","484,328","1,969",280,246,120,"1,701,000","5,744",53,"17,136",552,12,4,450,89,"962,000","13,182,000","53,585",246,"21,784,000","88,555",0,0,0,0,2,0,0,830,22,"1,413",5,"33,040",369,11,"5,273",0,0,0,0,0,0,0,0,0,0,0,150,5,0,2,0,0,0,0,0,0,0,0,2,0
colorado,custer,"28,989",142,"20,527",110,"1,943","994,967",315,"22,558",98,"5,099,000",0,0,0,0,0,0,"5,709",101,5,4,"8,387",133,90,"5,529",3,18,655,43,178,"9,680,000","30,731",0,0,0,0,0,0,"4,582,000","9,920,000","31,493","161,337",512,105,315,10,"173,000","20,086",100,"35,224",56,3,6,84,84,"2,126,000","2,059,000","6,537",315,"25,680,000","81,523",0,0,0,0,0,0,0,243,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colorado,delta,"69,393","1,303","49,214","1,198","4,813","705,824","1,615","66,762","1,429","36,751,000",0,1,0,"1,464",20,"35,374",0,419,0,13,"40,550",513,396,"23,694",22,"2,827","7,159",261,849,"67,117,000","41,558","4,087",33,"672,246","2,315",18,"55,731","30,366,000","59,466,000","36,821","236,846",147,25,"1,615",101,"897,000","34,823","1,025","67,495",910,56,61,"1,284",383,"6,075,000","14,623,000","9,054","1,615","109,790,000","67,981",72,3,"5,450","2,070",154,7,15,"15,613",77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"1,295",83,"1,496",14,"151,797",0,0,0,0,0,0,"1,496",14,"151,797"
colorado,denver,43,7,0,7,"63,728","685,079",12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,"1,097,000","91,450",129,11,8,12,0,0,0,0,0,0,0,0,0,4,0,0,0,12,"313,000","26,067",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
colorado,dolores,"69,871",230,"31,048",111,"1,783","898,017",313,"7,241",60,"2,478,000",0,1,0,"8,321",31,"45,210","3,212",48,0,0,"5,052",67,42,"2,951",0,0,415,30,188,"8,516,000","27,208",0,1,0,0,0,0,"6,038,000","7,979,000","25,491","157,664",504,157,313,139,"1,123,000","6,395",38,"21,455",0,0,0,0,123,"909,000","2,569,000","8,207",313,"21,839,000","69,774",0,0,0,25,7,2,5,109,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,5,"15,008",65,"239,470",252,4,"12,287",0,0,0,"14,756",62,"227,183"
colorado,douglas,"26,536",484,"12,371",305,"6,747","1,112,035","1,223","2,285",87,"7,168,000",0,0,0,0,0,0,"5,012",322,14,8,"8,005",437,322,"5,680",9,112,"4,542",242,811,"18,867,000","15,427",0,0,0,0,0,0,"11,700,000","36,398,000","29,761","201,574",165,36,"1,223",41,"428,000","10,500",266,"10,175",95,29,30,97,309,"7,516,000","-9,587,000","-7,839","1,223","61,790,000","50,523",0,1,0,9,12,0,2,673,57,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,10,"1,500",7,"40,546",0,0,0,0,0,0,"1,500",7,"40,546"
colorado,eagle,"15,360",201,"12,404",170,"3,309","1,998,474",257,"14,780",191,"6,271,000",0,0,0,0,0,0,0,66,0,2,"9,513",72,49,"6,024",0,0,823,29,121,"8,243,000","32,074",0,0,0,0,0,0,"1,972,000","11,465,000","44,610","155,200",604,77,257,13,"60,000","11,393",147,"15,786",14,4,4,30,91,"3,219,000","57,000",223,257,"21,480,000","83,582",0,0,0,0,1,2,6,"9,432",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,960,6,"8,640",0,0,0,0,0,0,960,6,"8,640"
colorado,el paso,"51,531",443,"18,121",232,"1,407","659,073","1,345","8,922",126,"18,095,000",0,0,0,0,0,0,"15,738",451,29,19,"28,082",545,412,"15,779",29,"2,270",0,353,795,"31,898,000","23,716",5,3,500,0,2,0,"13,803,000","44,015,000","32,725","630,033",468,75,"1,345",101,"1,300,000","15,812",161,"24,655",349,59,84,574,299,"5,548,000","-5,269,000","-3,917","1,345","62,265,000","46,294",0,0,0,17,11,3,18,973,64,268,4,"16,208",0,3,149,0,0,0,0,0,0,0,0,0,0,0,56,29,504,5,"15,910",0,1,0,0,0,0,0,4,0
colorado,elbert,"189,920",665,"77,935",408,"1,526","952,293","1,632","6,690",103,"27,862,000",0,0,0,0,0,0,"24,785",665,41,25,"40,779",815,622,"28,704",12,"1,512","6,252",329,917,"35,373,000","21,675","7,484",16,"505,528",0,0,0,"7,511,000","58,412,000","35,792","1,018,461",624,60,"1,632",194,"3,286,000","34,765",345,"36,089",407,59,56,680,466,"6,654,000","-13,098,000","-8,026","1,632","99,851,000","61,221",184,3,"8,206",5,10,1,7,"1,582",90,"5,804",9,"175,124",775,7,873,0,0,0,0,0,0,0,2,0,0,0,28,30,"22,094",34,"603,510",0,0,0,0,0,0,"22,094",34,"603,510"
colorado,fremont,"15,097",633,"9,668",565,"2,336","628,195","1,034","11,254",616,"16,670,000",0,0,0,0,0,0,"7,919",305,"2,009",18,"15,249",397,235,"8,909",11,763,"3,195",169,679,"21,806,000","21,089",0,0,0,0,2,0,"5,136,000","24,653,000","23,843","278,093",269,12,"1,034",21,"244,000","8,830",496,"20,538",216,24,27,380,258,"1,885,000","-719,000",-695,"1,034","49,739,000","48,150",0,0,0,138,59,(z),4,139,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,29,0,0,0,0,0,0,0,0,0,0,0,0
colorado,garfield,"77,405",496,"41,885",421,"2,399","1,724,785",661,"51,961",500,"27,077,000",0,1,0,0,0,0,"18,993",234,8,6,"34,267",258,231,"22,468",17,364,"9,779",119,257,"35,863,000","54,255",390,5,"62,196",160,4,"3,600","8,786,000","38,428,000","58,135","475,166",719,50,661,48,"360,000","39,902",397,"68,475",205,17,30,243,190,"6,900,000","4,696,000","7,104",661,"59,117,000","89,572",0,2,0,35,17,0,2,"10,529",37,312,3,"8,253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,13,325,4,"9,493",0,1,0,0,0,0,0,3,0
colorado,gilpin,484,14,145,8,"4,226","446,403",37,0,2,"179,000",0,0,0,0,0,0,47,5,0,2,0,7,9,154,0,0,42,3,24,"216,000","5,842",0,0,0,0,0,0,"37,000","606,000","16,382","3,908",106,46,37,6,"28,000",142,6,567,0,0,0,0,9,"568,000","207,000","5,583",37,"1,256,000","33,954",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
colorado,grand,"36,525",196,"30,952",156,"2,199","1,827,034",290,"36,290",174,"11,052,000",0,0,0,0,0,0,"10,699",102,8,4,"17,031",126,94,"12,592",1,0,773,39,154,"14,440,000","49,792",0,0,0,0,0,0,"3,388,000","17,237,000","59,439","240,980",831,60,290,5,"30,000","30,932",152,"46,758",15,3,9,26,120,"4,422,000","1,655,000","5,707",290,"26,852,000","92,591",0,0,0,0,0,0,0,111,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
colorado,gunnison,"49,344",197,"41,202",179,"2,567","2,217,820",309,"57,672",214,"18,644,000",0,0,0,0,0,0,"13,842",99,6,6,"23,819",113,115,"17,519",5,395,753,25,130,"24,117,000","78,047",0,0,0,0,0,0,"5,472,000","22,193,000","71,821","266,922",864,120,309,12,"51,000","41,177",169,"52,192",61,8,9,32,105,"1,529,000","3,504,000","11,341",309,"33,278,000","107,695",0,0,0,0,2,1,5,"10,931",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0
colorado,hinsdale,"1,067",15,947,15,"1,841","741,831",26,"2,461",20,0,0,0,0,0,0,0,391,8,0,0,587,8,9,381,0,0,0,1,17,"261,000","10,052",0,0,0,0,0,0,0,"557,000","21,429","10,478",403,120,26,1,0,947,15,"1,706",0,0,0,0,8,"101,000","-189,000","-7,263",26,"1,824,000","70,145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colorado,huerfano,"19,449",193,"9,152",150,962,"1,280,062",437,"8,573",134,"11,765,000",0,0,0,0,0,0,0,197,0,4,"17,144",211,162,"9,663",2,0,681,43,238,"13,186,000","30,174",0,0,0,0,2,0,"1,421,000","14,738,000","33,727","581,606","1,331",200,437,34,"311,000","8,843",134,"20,434",19,7,4,12,100,"673,000","-568,000","-1,300",437,"25,687,000","58,781",0,0,0,0,3,1,4,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,2,0,0,2,0,0,0,0,0,0,0
colorado,jackson,"67,437",76,"61,097",73,"1,323","3,045,594",131,"70,448",88,"19,957,000",0,0,0,0,0,0,"14,207",50,0,0,"22,758",59,57,"20,455",0,0,205,16,47,"24,487,000","186,923",0,1,0,0,1,0,"4,530,000","18,681,000","142,600","301,474","2,301",430,131,9,"35,000","60,927",71,"69,820",0,0,0,0,63,"3,477,000","9,319,000","71,134",131,"25,712,000","196,274",0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
colorado,jefferson,"5,446",277,"3,362",228,"7,715","885,635",597,"1,190",164,"2,005,000",0,0,0,0,0,0,"1,455",126,10,6,"2,049",157,124,"1,195",0,0,"2,304",123,418,"9,041,000","15,144",0,1,0,0,0,0,"7,036,000","19,166,000","32,105","68,536",115,15,597,18,"151,000","2,446",150,"3,220",0,0,1,0,128,"6,759,000","-3,215,000","-5,386",597,"21,988,000","36,831",0,0,0,8,8,1,5,469,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,38,0,2,0,0,0,0,0,0,0,0,2,0
colorado,kiowa,"676,329",315,0,167,754,"2,122,946",388,"2,740",21,"24,976,000",0,0,0,0,0,0,"10,371",109,10,4,"17,980",114,109,"13,153",0,0,381,9,172,"65,468,000","168,731","26,280",32,"2,261,313",0,0,0,"40,491,000","60,496,000","155,917","1,091,807","2,814",895,388,318,"10,450,000","5,242",37,"9,673",0,3,3,0,188,"5,753,000","21,175,000","54,575",388,"63,184,000","162,846",0,0,0,0,0,0,0,126,6,"61,016",59,"2,949,838",0,2,0,0,1,0,0,0,0,"15,990",19,"18,439,447",0,0,0,0,"168,831",133,"5,366,284",0,0,0,0,0,0,"168,831",133,"5,366,284"
colorado,kit carson,"890,703",438,"497,533",317,"1,219","2,883,863",574,"117,816",150,"320,838,000",0,0,0,"2,291",9,"47,915",0,176,0,2,"173,384",207,189,"197,343",1,0,181,12,190,"474,278,000","826,269","209,854",172,"28,901,833","5,395",23,"132,047","153,440,000","435,111,000","758,033","1,357,856","2,366",640,574,410,"13,382,000","24,116",118,"65,379",0,6,9,0,366,"10,888,000","63,438,000","110,518",574,"214,289,000","375,287",387,4,"35,257",0,0,0,0,547,15,"30,817",58,"1,573,394","10,314",6,"148,264","5,095",17,"299,317",0,1,0,"13,005",20,"11,377,260",0,0,0,0,"233,352",256,"11,989,239",0,1,0,0,0,0,0,255,0
colorado,la plata,"89,669",803,"39,672",634,"2,259","1,135,305","1,093","58,522",788,"15,034,000",146,3,"7,340",0,2,0,"12,657",329,56,22,"21,301",382,327,"13,241",16,969,"4,435",167,508,"24,352,000","22,280",586,8,"77,804",0,1,0,"9,319,000","31,758,000","29,056","549,241",503,40,"1,093",92,"1,066,000","35,218",552,"70,534",309,49,60,555,438,"3,562,000","-2,777,000","-2,541","1,093","81,503,000","74,568",530,10,"48,756",159,55,3,6,"7,483",88,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,52,30,"2,355",12,"38,710",0,0,0,0,0,0,"2,355",12,"38,710"
colorado,lake,530,8,530,8,"2,055","743,849",33,"1,872",13,0,0,0,0,0,0,0,198,15,0,0,326,19,13,454,1,0,0,1,16,"727,000","22,043",0,0,0,0,0,0,0,"1,201,000","36,387","11,946",362,77,33,0,0,460,6,432,0,0,1,0,16,"165,000","-309,000","-9,355",33,"1,550,000","46,972",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colorado,larimer,"98,639","1,213","66,092","1,007","4,637","1,095,047","2,043","60,191",925,"81,843,000",813,6,"107,098","2,528",16,"57,672","16,048",496,"10,199",25,"57,507",622,454,"31,968",26,"5,546","9,210",417,"1,179","150,717,000","73,772","8,713",39,"1,383,435","7,557",42,"167,401","68,874,000","150,951,000","73,887","482,456",236,35,"2,043",112,"633,000","38,955",850,"93,248",584,84,101,699,619,"10,950,000","11,349,000","5,555","2,043","157,117,000","76,905",0,1,0,77,31,7,21,"1,877",104,0,0,0,0,1,0,0,0,0,"1,508",12,"46,505",0,0,0,0,0,112,76,"3,127",28,"179,550",0,0,0,0,0,0,"3,127",28,"179,550"
